Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%,Height (Inches),height_scaled,weight_scaled,DBSCAN Results,IsolationForest Results,Height-Weight PCA,PCA Z-Score Results
Domantas Sabonis,IND,24,6-11,240,Gonzaga,Lithuania,2016,1,11,62,18.5,12.4,5.0,3.1,8.9%,26.2%,22.9%,58.6%,21.5%,83,1.369649342680253,0.9428712921553787,Core Data,Core Data,1.6351990225260935,Core Data
Donovan Mitchell,UTA,23,6-1,215,Louisville,USA,2017,1,13,69,24.0,4.4,4.3,2.6,2.3%,10.1%,30.3%,55.8%,21.4%,73,-1.5589864789763876,-0.09211151318616172,Core Data,Core Data,-1.1675025866616333,Core Data
Donta Hall,BKN,22,6-9,229,None,USA,Undrafted,Undrafted,Undrafted,9,4.3,4.2,0.4,-12.0,9.3%,19.7%,10.9%,65.2%,4.8%,81,0.7839221783489247,0.48747885780510086,Core Data,Core Data,0.8990162942721129,Core Data
Donte DiVincenzo,MIL,23,6-4,203,Villanova,USA,2018,1,17,66,9.2,4.8,2.3,12.2,4.1%,14.0%,16.8%,55.7%,13.4%,76,-0.6803957324793954,-0.588903259750101,Core Data,Core Data,-0.8975299247587294,Core Data
Dorian Finney-Smith,DAL,27,6-7,220,Florida,USA,Undrafted,Undrafted,Undrafted,71,9.5,5.7,1.6,6.5,6.6%,11.3%,12.8%,59.5%,7.3%,79,0.1981950140175967,0.11488504788214636,Core Data,Core Data,0.22138103482361093,Core Data
Doug McDermott,IND,28,6-7,225,Creighton,USA,2014,1,11,69,10.3,2.5,1.1,3.2,1.8%,9.8%,18.6%,62.0%,8.1%,79,0.1981950140175967,0.3218816089504544,Core Data,Core Data,0.36774970683730684,Core Data
Dragan Bender,GSW,22,7-0,249,None,Croatia,2016,1,4,16,6.7,4.6,1.8,1.1,6.0%,18.3%,18.0%,54.5%,14.2%,84,1.662512924845917,1.3154651020783332,Core Data,Core Data,2.105748457062671,Core Data
Draymond Green,GSW,30,6-6,230,Michigan State,USA,2012,2,35,43,8.0,6.2,6.2,-7.2,1.8%,19.2%,15.6%,48.9%,31.0%,78,-0.09466856814806733,0.5288781700187625,Core Data,Core Data,0.307032553939078,Core Data
Drew Eubanks,SAS,23,6-9,245,None,USA,Undrafted,Undrafted,Undrafted,22,4.9,3.9,0.7,-11.0,9.9%,20.3%,15.0%,68.2%,8.9%,81,0.7839221783489247,1.1498678532236868,Core Data,Core Data,1.36739604471594,Core Data
Duncan Robinson,MIA,26,6-7,215,Michigan,USA,Undrafted,Undrafted,Undrafted,73,13.5,3.2,1.4,7.5,0.5%,9.9%,15.7%,68.4%,6.8%,79,0.1981950140175967,-0.09211151318616172,Core Data,Core Data,0.075012362809915,Core Data
