Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%,Height (Inches),height_scaled,weight_scaled,DBSCAN Results,IsolationForest Results,Height-Weight PCA,PCA Z-Score Results
Jakob Poeltl,SAS,24,7-1,245,Utah,Austria,2016,1,9,66,5.6,5.7,1.8,5.7,10.8%,19.4%,12.5%,61.2%,12.6%,85,1.955376507011581,1.1498678532236868,Core Data,Core Data,2.1957393443636386,Core Data
Jalen Brunson,DAL,23,6-1,190,Villanova,USA,2018,2,33,57,8.2,2.4,3.3,7.6,2.1%,10.0%,19.9%,55.3%,26.5%,73,-1.5589864789763876,-1.127094318527702,Core Data,Core Data,-1.8993459467301128,Core Data
Jalen Lecque,PHX,20,6-4,185,None,USA,Undrafted,Undrafted,Undrafted,5,2.0,0.4,0.4,-20.2,0.0%,5.7%,18.6%,46.0%,11.8%,76,-0.6803957324793954,-1.33409087959601,Core Data,Core Data,-1.4244571440080345,Core Data
Jalen McDaniels,CHA,22,6-10,205,San Diego State,USA,2019,2,52,16,5.6,4.1,0.8,-3.6,5.0%,17.2%,13.1%,57.4%,6.9%,82,1.0767857605145887,-0.5061046353227778,Core Data,Core Data,0.40353249351829723,Core Data
Jamal Crawford,BKN,40,6-5,200,Michigan,USA,2000,1,8,1,5.0,0.0,3.0,26.7,0.0%,0.0%,23.5%,62.5%,50.0%,77,-0.3875321503137314,-0.7131011963910859,Core Data,Core Data,-0.7782653030550222,Core Data
Jamal Murray,DEN,23,6-4,215,Kentucky,Canada,2016,1,7,59,18.5,4.0,4.8,5.3,2.4%,10.1%,24.8%,55.9%,22.8%,76,-0.6803957324793954,-0.09211151318616172,Core Data,Core Data,-0.5462451119258592,Core Data
James Ennis III,ORL,29,6-6,215,Cal State-Long Beach,USA,2013,2,50,69,6.6,3.6,0.9,0.1,5.5%,13.7%,15.1%,56.5%,6.7%,78,-0.09466856814806733,-0.09211151318616172,Core Data,Core Data,-0.1320734621020097,Core Data
James Harden,HOU,30,6-5,220,Arizona State,USA,2009,1,3,68,34.3,6.6,7.5,5.8,2.6%,13.9%,35.6%,62.6%,36.6%,77,-0.3875321503137314,0.11488504788214636,Core Data,Core Data,-0.19279061500023845,Core Data
James Johnson,MIN,33,6-7,240,Wake Forest,USA,2009,1,16,32,8.4,3.7,2.3,-4.6,3.8%,14.5%,18.6%,57.2%,17.7%,79,0.1981950140175967,0.9428712921553787,Core Data,Core Data,0.8068557228783947,Core Data
Jared Dudley,LAL,34,6-6,237,Boston College,USA,2007,1,22,45,1.5,1.2,0.6,3.3,1.7%,11.9%,8.1%,55.8%,10.4%,78,-0.09466856814806733,0.8186733555143938,Core Data,Core Data,0.5119486947582523,Core Data
Jared Harper,NYK,22,5-10,175,None,USA,Undrafted,Undrafted,Undrafted,3,0.7,0.0,0.0,-61.1,0.0%,0.0%,22.2%,25.0%,0.0%,70,-2.4375772254733796,-1.7480840017326262,Core Data,Core Data,-2.959709437506975,Outlier
Jaren Jackson Jr.,MEM,20,6-11,242,Michigan State,USA,2018,1,4,57,17.4,4.6,1.4,-2.6,3.3%,12.0%,23.8%,59.3%,7.3%,83,1.369649342680253,1.025669916582702,Core Data,Core Data,1.6937464913315718,Core Data
Jarred Vanderbilt,MIN,21,6-9,214,Kentucky,USA,2018,2,41,11,1.1,0.8,0.2,-23.4,6.5%,14.3%,13.3%,67.6%,5.7%,81,0.7839221783489247,-0.13351082539982334,Core Data,Core Data,0.4599102782310251,Core Data
Jarrell Brantley,UTA,24,6-5,250,College of Charleston,USA,2019,2,50,9,2.7,2.2,1.2,-17.0,1.9%,18.9%,15.5%,41.6%,19.3%,77,-0.3875321503137314,1.3568644142919948,Core Data,Core Data,0.6854214170819372,Core Data
Jarrett Allen,BKN,22,6-11,243,Texas,USA,2017,1,22,70,11.1,9.6,1.6,0.9,10.8%,22.6%,14.8%,66.4%,8.6%,83,1.369649342680253,1.0670692287963635,Core Data,Core Data,1.723020225734311,Core Data
Jarrett Culver,MIN,21,6-6,195,Texas Tech,USA,2019,1,6,63,9.2,3.4,1.7,-3.3,4.1%,9.2%,18.7%,46.7%,10.5%,78,-0.09466856814806733,-0.920097757459394,Core Data,Core Data,-0.7175481501567934,Core Data
Jarrod Uthoff,WAS,27,6-9,220,Iowa,USA,Undrafted,Undrafted,Undrafted,7,2.7,0.9,0.0,8.1,3.2%,7.4%,14.1%,50.3%,0.0%,81,0.7839221783489247,0.11488504788214636,Core Data,Core Data,0.6355526846474603,Core Data
Javonte Green,BOS,26,6-4,205,Radford University,USA,Undrafted,Undrafted,Undrafted,48,3.4,1.9,0.5,-2.6,5.1%,13.4%,14.9%,56.4%,7.9%,76,-0.6803957324793954,-0.5061046353227778,Core Data,Core Data,-0.838982455953251,Core Data
Jaxson Hayes,NOP,20,6-11,220,Texas,USA,2019,1,8,64,7.4,4.0,0.9,-1.8,8.5%,14.0%,14.6%,68.9%,7.4%,83,1.369649342680253,0.11488504788214636,Core Data,Core Data,1.0497243344713096,Core Data
Jaylen Brown,BOS,23,6-6,223,California,USA,2016,1,3,57,20.3,6.4,2.1,6.9,3.1%,14.9%,24.5%,58.3%,9.5%,78,-0.09466856814806733,0.2390829845231312,Core Data,Core Data,0.10211641311990377,Core Data
Jaylen Hoard,POR,21,6-8,216,None,France,Undrafted,Undrafted,Undrafted,13,2.9,2.5,0.3,3.0,11.1%,15.8%,15.3%,50.4%,5.4%,80,0.49105859618326075,-0.0507122009725001,Core Data,Core Data,0.31137192212457887,Core Data
Jaylen Nowell,MIN,20,6-4,201,Washington,USA,2019,2,43,15,3.8,0.9,1.3,1.2,1.6%,6.5%,16.5%,47.1%,19.4%,76,-0.6803957324793954,-0.6717018841774243,Core Data,Core Data,-0.9560773935642077,Core Data
Jayson Tatum,BOS,22,6-8,210,Duke,USA,2017,1,3,66,23.4,7.0,3.0,10.6,2.7%,16.5%,28.0%,56.7%,14.3%,80,0.49105859618326075,-0.2991080742544698,Core Data,Core Data,0.13572951570814376,Core Data
Jeff Green,HOU,33,6-8,235,Georgetown,USA,2007,1,5,48,9.4,2.8,1.0,-3.8,2.4%,10.8%,18.8%,59.0%,8.2%,80,0.49105859618326075,0.7358747310870706,Core Data,Core Data,0.8675728757766233,Core Data
Jeff Teague,ATL,32,6-3,195,Wake Forest,USA,2009,1,19,59,10.9,2.4,5.2,-5.7,1.7%,7.4%,19.2%,55.7%,30.6%,75,-0.9732593146450594,-0.920097757459394,Core Data,Core Data,-1.3388056248925675,Core Data
Jerami Grant,DEN,26,6-8,210,Syracuse,USA,2014,2,39,71,12.0,3.5,1.2,-2.1,3.1%,9.9%,17.7%,59.1%,6.8%,80,0.49105859618326075,-0.2991080742544698,Core Data,Core Data,0.13572951570814376,Core Data
Jeremiah Martin,BKN,24,6-2,185,Memphis,USA,Undrafted,Undrafted,Undrafted,9,7.1,1.1,2.0,-8.4,1.0%,8.9%,26.8%,54.1%,30.0%,74,-1.2661228968107234,-1.33409087959601,Core Data,Core Data,-1.838628793831884,Core Data
Jeremy Lamb,IND,28,6-5,180,Connecticut,USA,2012,1,12,46,12.5,4.3,2.1,-0.9,1.9%,13.5%,19.5%,54.7%,10.7%,77,-0.3875321503137314,-1.5410874406643182,Core Data,Core Data,-1.3637399911098058,Core Data
Jeremy Pargo,GSW,34,6-2,219,Gonzaga,USA,Undrafted,Undrafted,Undrafted,3,8.3,1.0,2.7,2.4,2.4%,4.8%,26.8%,55.7%,30.8%,74,-1.2661228968107234,0.07348573566848474,Core Data,Core Data,-0.8433218241387518,Core Data
Jerian Grant,WAS,27,6-4,198,Notre Dame,USA,2015,1,19,6,4.5,1.0,1.5,-3.6,2.2%,5.6%,16.6%,44.9%,16.1%,76,-0.6803957324793954,-0.7958998208184092,Core Data,Core Data,-1.0438985967724252,Core Data
Jerome Robinson,WAS,23,6-4,190,Boston College,USA,2018,1,13,63,5.1,2.0,1.4,-1.0,1.2%,11.0%,15.5%,47.6%,12.3%,76,-0.6803957324793954,-1.127094318527702,Core Data,Core Data,-1.2780884719943386,Core Data
Jevon Carter,PHX,24,6-1,200,West Virginia,USA,2018,2,32,58,4.9,2.0,1.4,0.7,3.1%,9.0%,12.7%,56.3%,12.9%,73,-1.5589864789763876,-0.7131011963910859,Core Data,Core Data,-1.6066086027027209,Core Data
Jimmy Butler,MIA,30,6-7,230,Marquette,USA,2011,1,30,58,19.9,6.7,6.0,5.2,5.5%,13.9%,24.6%,58.5%,28.3%,79,0.1981950140175967,0.5288781700187625,Core Data,Core Data,0.5141183788510028,Core Data
Joakim Noah,LAC,35,6-11,232,Florida,USA,2007,1,9,5,2.8,3.2,1.4,-14.6,9.1%,16.9%,14.0%,60.8%,25.9%,83,1.369649342680253,0.6116767944460857,Core Data,Core Data,1.40100914730418,Core Data
Joe Chealey,CHA,24,6-4,190,College of Charleston,USA,Undrafted,Undrafted,Undrafted,4,0.5,0.0,0.3,-23.4,0.0%,0.0%,12.8%,12.7%,6.3%,76,-0.6803957324793954,-1.127094318527702,Core Data,Core Data,-1.2780884719943386,Core Data
Joe Harris,BKN,28,6-6,220,Virginia,USA,2014,2,33,69,14.5,4.3,2.1,0.9,2.8%,10.2%,17.9%,60.6%,10.0%,78,-0.09466856814806733,0.11488504788214636,Core Data,Core Data,0.014295209911686231,Core Data
Joe Ingles,UTA,32,6-7,220,None,Australia,Undrafted,Undrafted,Undrafted,72,9.8,3.9,5.2,5.1,1.3%,11.2%,14.8%,59.5%,24.4%,79,0.1981950140175967,0.11488504788214636,Core Data,Core Data,0.22138103482361093,Core Data
Joel Embiid,PHI,26,7-0,280,Kansas,Cameroon,2014,1,3,51,23.0,11.6,3.0,5.2,9.1%,27.9%,31.5%,59.0%,17.8%,84,1.662512924845917,2.598843780701843,Core Data,Core Data,3.0132342235475855,Outlier
John Collins,ATL,22,6-9,235,Wake Forest,USA,2017,1,19,41,21.6,10.1,1.5,-5.1,8.0%,20.8%,22.4%,65.9%,7.5%,81,0.7839221783489247,0.7358747310870706,Core Data,Core Data,1.074658700688548,Core Data
John Henson,DET,29,6-9,219,North Carolina,USA,2012,1,14,40,5.5,4.1,1.4,-0.7,7.7%,19.1%,16.0%,57.8%,13.3%,81,0.7839221783489247,0.07348573566848474,Core Data,Core Data,0.606278950244721,Core Data
John Konchar,MEM,24,6-5,210,None,USA,Undrafted,Undrafted,Undrafted,19,2.8,2.5,1.2,4.9,9.3%,15.2%,9.7%,71.3%,16.1%,77,-0.3875321503137314,-0.2991080742544698,Core Data,Core Data,-0.4855279590276303,Core Data
Johnathan Motley,LAC,25,6-8,230,Baylor,USA,Undrafted,Undrafted,Undrafted,13,2.2,0.8,0.6,5.7,7.7%,18.9%,23.5%,77.4%,30.8%,80,0.49105859618326075,0.5288781700187625,Core Data,Core Data,0.7212042037629275,Core Data
Johnathan Williams,WAS,25,6-9,228,Gonzaga,USA,Undrafted,Undrafted,Undrafted,15,3.0,4.3,0.5,-11.6,11.9%,21.5%,10.0%,56.6%,6.4%,81,0.7839221783489247,0.44607954559143925,Core Data,Core Data,0.8697425598693737,Core Data
Jonah Bolden,PHX,24,6-8,225,None,Australia,2017,2,36,7,1.4,1.3,0.0,-3.2,6.4%,14.0%,13.0%,39.2%,0.0%,80,0.49105859618326075,0.3218816089504544,Core Data,Core Data,0.5748355317492315,Core Data
Jonas Valanciunas,MEM,28,6-11,265,None,Lithuania,2011,1,5,70,14.9,11.3,1.9,0.3,11.0%,27.9%,21.1%,63.1%,10.9%,83,1.369649342680253,1.977854097496919,Core Data,Core Data,2.367042382594573,Core Data
Jonathan Isaac,ORL,22,6-11,230,Florida State,USA,2017,1,6,34,11.9,6.8,1.4,0.7,5.6%,17.7%,18.1%,55.2%,7.4%,83,1.369649342680253,0.5288781700187625,Core Data,Core Data,1.3424616784987016,Core Data
Jordan Bell,CLE,25,6-8,216,Oregon,USA,2017,2,38,29,3.2,2.8,0.6,-1.6,11.0%,18.7%,15.9%,57.7%,9.0%,80,0.49105859618326075,-0.0507122009725001,Core Data,Core Data,0.31137192212457887,Core Data
Jordan Bone,DET,22,6-3,180,Tennessee,USA,2019,2,57,10,1.2,0.4,0.8,-2.9,0.0%,9.1%,17.1%,30.0%,23.5%,75,-0.9732593146450594,-1.5410874406643182,Core Data,Core Data,-1.7779116409336553,Core Data
Jordan Clarkson,UTA,28,6-4,194,Missouri,USA,2014,2,46,71,15.2,2.6,1.9,-0.5,2.8%,7.8%,25.4%,57.4%,13.0%,76,-0.6803957324793954,-0.9614970696730556,Core Data,Core Data,-1.1609935343833822,Core Data
Jordan McLaughlin,MIN,24,5-11,185,USC,USA,Undrafted,Undrafted,Undrafted,30,7.6,1.6,4.2,-5.8,1.0%,7.9%,15.1%,58.7%,30.3%,71,-2.144713643307716,-1.33409087959601,Core Data,Core Data,-2.4598862685676584,Core Data
Jordan McRae,DET,29,6-5,179,Tennessee,USA,2014,2,58,37,11.5,3.4,2.5,-4.1,2.2%,13.9%,23.9%,51.5%,17.4%,77,-0.3875321503137314,-1.5824867528779798,Core Data,Core Data,-1.393013725512545,Core Data
Jordan Poole,GSW,21,6-4,194,Michigan,USA,2019,1,28,57,8.8,2.1,2.4,-8.2,0.7%,8.7%,20.0%,45.4%,16.0%,76,-0.6803957324793954,-0.9614970696730556,Core Data,Core Data,-1.1609935343833822,Core Data
Josh Gray,NOP,26,6-0,180,None,USA,Undrafted,Undrafted,Undrafted,2,1.0,1.0,1.0,-14.9,5.3%,4.0%,13.7%,50.0%,15.4%,72,-1.8518500611420516,-1.5410874406643182,Core Data,Core Data,-2.3991691156694293,Core Data
Josh Hart,NOP,25,6-5,215,Villanova,USA,2017,1,30,65,10.1,6.5,1.7,-3.1,3.2%,19.5%,15.0%,56.3%,8.4%,77,-0.3875321503137314,-0.09211151318616172,Core Data,Core Data,-0.3391592870139344,Core Data
Josh Jackson,MEM,23,6-8,207,Kansas,USA,2017,1,4,22,9.0,3.0,1.6,2.5,2.7%,12.8%,21.4%,54.7%,12.5%,80,0.49105859618326075,-0.4233060108954546,Core Data,Core Data,0.04790831249992623,Core Data
Josh Magette,ORL,30,6-1,160,Alabama Huntsville,USA,Undrafted,Undrafted,Undrafted,8,1.5,0.8,0.6,2.4,2.2%,12.8%,22.6%,37.8%,23.8%,73,-1.5589864789763876,-2.3690736849375504,Core Data,Outlier,-2.7775579788122884,Outlier
Josh Okogie,MIN,21,6-4,213,Georgia Institute of Technology,Nigeria,2018,1,20,62,8.6,4.3,1.6,-4.7,5.0%,11.4%,14.8%,55.3%,8.9%,76,-0.6803957324793954,-0.17491013761348495,Core Data,Core Data,-0.6047925807313376,Core Data
Josh Reaves,DAL,23,6-4,214,Penn State,USA,Undrafted,Undrafted,Undrafted,4,2.0,0.8,0.8,15.5,3.0%,6.3%,16.1%,40.5%,15.8%,76,-0.6803957324793954,-0.13351082539982334,Core Data,Core Data,-0.5755188463285984,Core Data
Josh Richardson,PHI,26,6-5,200,Tennessee,USA,2015,2,40,55,13.7,3.2,2.9,3.3,2.3%,7.5%,20.0%,53.3%,13.8%,77,-0.3875321503137314,-0.7131011963910859,Core Data,Core Data,-0.7782653030550222,Core Data
Jrue Holiday,NOP,30,6-3,205,UCLA,USA,2009,1,17,61,19.1,4.8,6.7,0.5,3.4%,9.5%,24.1%,53.7%,28.4%,75,-0.9732593146450594,-0.5061046353227778,Core Data,Core Data,-1.0460682808651758,Core Data
Juan Toscano-Anderson,GSW,27,6-6,209,None,USA,Undrafted,Undrafted,Undrafted,13,5.3,4.0,2.0,-12.0,3.1%,16.3%,12.5%,52.9%,14.4%,78,-0.09466856814806733,-0.3405073864681314,Core Data,Core Data,-0.3077158685184448,Core Data
Juancho Hernangomez,MIN,24,6-9,214,None,Spain,2016,1,15,48,6.0,4.1,0.8,-2.3,4.6%,18.4%,14.9%,51.8%,6.3%,81,0.7839221783489247,-0.13351082539982334,Core Data,Core Data,0.4599102782310251,Core Data
Julius Randle,NYK,25,6-8,250,Kentucky,USA,2014,1,7,64,19.5,9.7,3.1,-5.9,6.7%,22.3%,27.1%,53.8%,15.8%,80,0.49105859618326075,1.3568644142919948,Core Data,Core Data,1.3066788918177112,Core Data
Justin Anderson,BKN,26,6-5,231,Virginia,USA,2015,1,21,10,2.8,2.1,0.8,-0.1,0.8%,16.7%,16.2%,35.2%,9.9%,77,-0.3875321503137314,0.5702774822324241,Core Data,Core Data,0.12922046342989257,Core Data
Justin Holiday,IND,31,6-6,180,Washington,USA,Undrafted,Undrafted,Undrafted,73,8.3,3.3,1.3,1.3,1.7%,10.4%,13.0%,58.5%,6.8%,78,-0.09466856814806733,-1.5410874406643182,Core Data,Core Data,-1.156654166197881,Core Data
Justin Jackson,DAL,25,6-7,220,North Carolina,USA,2017,1,15,65,5.5,2.4,0.8,0.5,2.4%,11.9%,15.0%,49.6%,6.7%,79,0.1981950140175967,0.11488504788214636,Core Data,Core Data,0.22138103482361093,Core Data
Justin James,SAC,23,6-7,190,Wyoming,USA,2019,2,40,36,2.5,0.9,0.5,-2.4,2.4%,11.1%,18.1%,47.7%,11.8%,79,0.1981950140175967,-1.127094318527702,Core Data,Core Data,-0.6568309972585645,Core Data
Justin Patton,DET,23,6-11,241,Creighton,USA,2017,1,16,5,1.8,1.0,0.4,-32.0,4.2%,17.4%,19.4%,45.0%,11.1%,83,1.369649342680253,0.9842706043690402,Core Data,Core Data,1.6644727569288327,Core Data
Justin Robinson,WAS,22,6-1,195,None,USA,Undrafted,Undrafted,Undrafted,9,1.4,0.6,0.8,29.9,2.2%,9.8%,13.3%,54.2%,19.4%,73,-1.5589864789763876,-0.920097757459394,Core Data,Core Data,-1.752977274716417,Core Data
Justin Wright-Foreman,UTA,22,6-0,190,Hofstra,USA,2019,2,53,4,4.8,1.3,1.8,-32.5,0.0%,12.5%,22.5%,43.7%,29.2%,72,-1.8518500611420516,-1.127094318527702,Core Data,Core Data,-2.1064317716420375,Core Data
Justise Winslow,MEM,24,6-6,222,Duke,USA,2015,1,10,11,11.3,6.6,4.0,6.4,4.3%,15.4%,19.0%,44.0%,18.3%,78,-0.09466856814806733,0.1976836723094696,Core Data,Core Data,0.0728426787171646,Core Data
Jusuf Nurkic,POR,25,7-0,290,None,Bosnia and He...,2014,1,16,8,17.6,10.3,4.0,-0.5,8.7%,24.3%,23.2%,56.7%,17.9%,84,1.662512924845917,3.012836902838459,Core Data,Outlier,3.3059715675749772,Outlier
Juwan Morgan,UTA,23,6-7,232,Indiana,USA,Undrafted,Undrafted,Undrafted,21,1.7,1.4,0.3,12.0,7.0%,12.8%,10.1%,64.8%,5.3%,79,0.1981950140175967,0.6116767944460857,Core Data,Core Data,0.5726658476564811,Core Data
KZ Okpala,MIA,21,6-8,215,Stanford,USA,2019,2,32,5,1.4,1.0,0.2,-31.7,3.8%,16.0%,10.2%,59.5%,7.7%,80,0.49105859618326075,-0.09211151318616172,Core Data,Core Data,0.2820981877218397,Core Data
Kadeem Allen,NYK,27,6-1,200,Arizona,USA,2017,2,53,10,5.0,0.9,2.1,-10.1,1.6%,6.5%,19.1%,51.2%,25.9%,73,-1.5589864789763876,-0.7131011963910859,Core Data,Core Data,-1.6066086027027209,Core Data
Karl-Anthony Towns,MIN,24,6-11,248,Kentucky,USA,2015,1,1,35,26.5,10.8,4.4,-1.5,7.5%,24.0%,27.8%,64.2%,21.0%,83,1.369649342680253,1.2740657898646714,Core Data,Core Data,1.8693888977480069,Core Data
Kawhi Leonard,LAC,29,6-7,225,San Diego State,USA,2011,1,15,57,27.1,7.1,4.9,12.2,2.8%,17.5%,32.7%,58.9%,25.5%,79,0.1981950140175967,0.3218816089504544,Core Data,Core Data,0.36774970683730684,Core Data
Keita Bates-Diop,DEN,24,6-8,229,Ohio State,USA,2018,2,48,44,6.5,2.9,0.7,-10.6,3.0%,13.1%,15.6%,53.9%,6.4%,80,0.49105859618326075,0.48747885780510086,Core Data,Core Data,0.6919304693601883,Core Data
Kelan Martin,MIN,24,6-5,230,None,USA,Undrafted,Undrafted,Undrafted,31,6.4,3.1,0.7,-1.7,2.1%,15.4%,17.1%,50.6%,7.1%,77,-0.3875321503137314,0.5288781700187625,Core Data,Core Data,0.09994672902715336,Core Data
Keldon Johnson,SAS,20,6-5,220,Kentucky,USA,2019,1,29,17,9.1,3.4,0.9,11.3,3.3%,14.6%,16.4%,71.1%,6.6%,77,-0.3875321503137314,0.11488504788214636,Core Data,Core Data,-0.19279061500023845,Core Data
Kelly Olynyk,MIA,29,6-11,240,Gonzaga,Canada,2013,1,13,67,8.2,4.6,1.7,1.5,3.4%,19.1%,16.5%,62.1%,13.1%,83,1.369649342680253,0.9428712921553787,Core Data,Core Data,1.6351990225260935,Core Data
Kelly Oubre Jr.,PHX,24,6-7,203,Kansas,USA,2015,1,15,56,18.7,6.4,1.5,0.2,3.4%,15.1%,21.9%,56.0%,6.6%,79,0.1981950140175967,-0.588903259750101,Core Data,Core Data,-0.2762724500229552,Core Data
Kemba Walker,BOS,30,6-0,184,Connecticut,USA,2011,1,9,56,20.4,3.9,4.8,7.1,2.0%,10.0%,26.8%,57.5%,23.2%,72,-1.8518500611420516,-1.3754901918096718,Core Data,Core Data,-2.2820741780584726,Core Data
Kendrick Nunn,MIA,24,6-2,190,Oakland,USA,Undrafted,Undrafted,Undrafted,67,15.3,2.7,3.3,1.2,1.1%,7.9%,23.6%,53.4%,18.2%,74,-1.2661228968107234,-1.127094318527702,Core Data,Core Data,-1.692260121818188,Core Data
Kenrich Williams,NOP,25,6-6,210,None,USA,Undrafted,Undrafted,Undrafted,39,3.5,4.8,1.5,-1.0,5.5%,15.7%,8.7%,42.9%,8.7%,78,-0.09466856814806733,-0.2991080742544698,Core Data,Core Data,-0.2784421341157056,Core Data
Kent Bazemore,SAC,30,6-4,195,Old Dominion,USA,Undrafted,Undrafted,Undrafted,68,8.8,4.3,1.4,0.8,1.5%,14.4%,17.1%,49.9%,7.7%,76,-0.6803957324793954,-0.920097757459394,Core Data,Core Data,-1.131719799980643,Core Data
Kentavious Caldwell-Pope,LAL,27,6-5,204,Georgia,USA,2013,1,8,69,9.3,2.1,1.6,3.5,2.1%,5.6%,14.2%,58.4%,8.5%,77,-0.3875321503137314,-0.5475039475364395,Core Data,Core Data,-0.6611703654440655,Core Data
Kevin Hervey,OKC,23,6-9,230,Texas-Arlington,USA,2018,2,57,10,1.7,1.2,0.5,-28.9,1.2%,21.6%,18.9%,31.5%,19.2%,81,0.7839221783489247,0.5288781700187625,Core Data,Core Data,0.9282900286748521,Core Data
Kevin Huerter,ATL,21,6-7,190,Maryland,USA,2018,1,19,56,12.2,4.1,3.8,-6.1,1.9%,10.6%,16.9%,53.6%,17.1%,79,0.1981950140175967,-1.127094318527702,Core Data,Core Data,-0.6568309972585645,Core Data
Kevin Knox II,NYK,20,6-7,215,Kentucky,USA,2018,1,9,65,6.4,2.8,0.9,-7.3,2.1%,12.8%,17.2%,47.0%,7.6%,79,0.1981950140175967,-0.09211151318616172,Core Data,Core Data,0.075012362809915,Core Data
Kevin Love,CLE,31,6-8,251,UCLA,USA,2008,1,5,56,17.6,9.8,3.2,-8.0,3.0%,28.6%,22.5%,59.9%,15.0%,80,0.49105859618326075,1.3982637265056563,Core Data,Core Data,1.3359526262204504,Core Data
Kevin Porter Jr.,CLE,20,6-4,203,USC,USA,2019,1,30,50,10.0,3.2,2.2,-11.2,1.8%,12.1%,20.2%,53.5%,14.7%,76,-0.6803957324793954,-0.588903259750101,Core Data,Core Data,-0.8975299247587294,Core Data
Kevon Looney,GSW,24,6-9,222,UCLA,USA,2015,1,30,20,3.4,3.3,1.0,-18.3,9.8%,15.1%,14.7%,40.3%,12.0%,81,0.7839221783489247,0.1976836723094696,Core Data,Core Data,0.6941001534529386,Core Data
Khem Birch,ORL,27,6-9,233,UNLV,Canada,Undrafted,Undrafted,Undrafted,48,4.4,4.6,1.0,-7.1,8.9%,14.4%,10.1%,56.6%,7.9%,81,0.7839221783489247,0.6530761066597474,Core Data,Core Data,1.0161112318830696,Core Data
Khris Middleton,MIL,28,6-7,222,Texas A&M,USA,2012,2,39,62,20.9,6.2,4.3,12.4,2.3%,15.7%,26.0%,61.9%,21.2%,79,0.1981950140175967,0.1976836723094696,Core Data,Core Data,0.2799285036290893,Core Data
Khyri Thomas,DET,24,6-3,210,Creighton,USA,2018,2,38,8,2.1,0.1,0.4,-28.7,1.2%,0.0%,14.9%,45.3%,9.7%,75,-0.9732593146450594,-0.2991080742544698,Core Data,Core Data,-0.8996996088514798,Core Data
Kostas Antetokounmpo,LAL,22,6-10,200,University of Dayton,Greece,2018,2,60,5,1.4,0.6,0.4,19.6,9.5%,5.0%,9.6%,90.2%,10.0%,82,1.0767857605145887,-0.7131011963910859,Core Data,Core Data,0.25716382150460126,Core Data
Kris Dunn,CHI,26,6-3,205,Providence,USA,2016,1,5,51,7.3,3.6,3.4,-0.1,1.7%,13.2%,14.5%,51.0%,19.8%,75,-0.9732593146450594,-0.5061046353227778,Core Data,Core Data,-1.0460682808651758,Core Data
Kristaps Porzingis,DAL,24,7-3,240,None,Latvia,2015,1,4,57,20.4,9.5,1.8,6.9,5.2%,22.1%,26.3%,55.1%,8.8%,87,2.541103671342909,0.9428712921553787,Outlier,Core Data,2.4635423221737924,Core Data
Ky Bowman,GSW,23,6-1,187,None,USA,Undrafted,Undrafted,Undrafted,45,7.4,2.7,2.9,-8.4,2.2%,9.3%,16.8%,49.4%,20.2%,73,-1.5589864789763876,-1.251292255168687,Core Data,Core Data,-1.9871671499383303,Core Data
Kyle Alexander,MIA,23,6-10,216,Tennessee,Canada,Undrafted,Undrafted,Undrafted,2,1.0,1.5,0.0,-6.7,11.1%,6.7%,7.9%,50.0%,0.0%,82,1.0767857605145887,-0.0507122009725001,Core Data,Core Data,0.7255435719484282,Core Data
Kyle Anderson,MEM,26,6-9,230,UCLA,USA,2014,1,30,67,5.8,4.3,2.4,-3.0,4.2%,15.1%,13.4%,53.4%,16.3%,81,0.7839221783489247,0.5288781700187625,Core Data,Core Data,0.9282900286748521,Core Data
Kyle Guy,SAC,22,6-1,167,Virginia,USA,2019,2,55,3,1.3,0.3,0.3,-45.8,0.0%,9.1%,20.0%,40.0%,12.5%,73,-1.5589864789763876,-2.0792784994419193,Core Data,Core Data,-2.5726418379931144,Core Data
Kyle Korver,MIL,39,6-7,212,Creighton,USA,2003,2,51,58,6.7,2.1,1.2,5.4,1.4%,9.1%,14.5%,62.0%,9.2%,79,0.1981950140175967,-0.21630944982714656,Core Data,Core Data,-0.012808840398302572,Core Data
Kyle Kuzma,LAL,24,6-8,221,Utah,USA,2017,1,27,61,12.8,4.5,1.3,4.9,3.3%,13.5%,22.1%,53.1%,7.6%,80,0.49105859618326075,0.15628436009580796,Core Data,Core Data,0.4577405941382748,Core Data
Kyle Lowry,TOR,34,6-0,196,Villanova,USA,2006,1,24,58,19.4,5.0,7.5,6.0,1.5%,11.5%,22.5%,59.0%,30.9%,72,-1.8518500611420516,-0.8786984452457324,Core Data,Core Data,-1.9307893652256025,Core Data
Kyle O'Quinn,PHI,30,6-9,250,Norfolk State,USA,2012,2,49,29,3.5,4.0,1.8,-4.9,9.9%,26.5%,14.8%,54.4%,22.5%,81,0.7839221783489247,1.3568644142919948,Core Data,Core Data,1.5137647167296358,Core Data
Kyrie Irving,BKN,28,6-2,195,Duke,Australia,2011,1,1,20,27.4,5.2,6.4,-0.4,3.2%,12.0%,31.8%,59.5%,33.1%,74,-1.2661228968107234,-0.920097757459394,Core Data,Core Data,-1.5458914498044922,Core Data
