skaterFullName,year_season_start,season_number,goals,gamesPlayed
Steven Stamkos,2014,7,43,82
Steven Stamkos,2015,8,36,77
Steven Stamkos,2016,9,9,17
Steven Stamkos,2017,10,27,78
Steven Stamkos,2018,11,45,82
Steven Stamkos,2019,12,29,57
Teemu Selanne,1992,1,76,84
Teemu Selanne,1993,2,25,51
Teemu Selanne,1994,3,22,45
Teemu Selanne,1995,4,40,79
Teemu Selanne,1996,5,51,78
Teemu Selanne,1997,6,52,73
Teemu Selanne,1998,7,47,75
Teemu Selanne,1999,8,33,79
Teemu Selanne,2000,9,33,73
Teemu Selanne,2001,10,29,82
Teemu Selanne,2002,11,28,82
Teemu Selanne,2003,12,16,78
Teemu Selanne,2005,13,40,80
Teemu Selanne,2006,14,48,82
Teemu Selanne,2007,15,12,26
Teemu Selanne,2008,16,27,65
Teemu Selanne,2009,17,27,54
Teemu Selanne,2010,18,31,73
Teemu Selanne,2011,19,26,82
Teemu Selanne,2012,20,12,46
Teemu Selanne,2013,21,9,64
Theo Fleury,1990,1,51,79
Theo Fleury,1991,2,33,80
Theo Fleury,1992,3,34,83
Theo Fleury,1993,4,40,83
Theo Fleury,1994,5,29,47
Theo Fleury,1995,6,46,80
Theo Fleury,1996,7,29,81
Theo Fleury,1997,8,27,82
Theo Fleury,1998,9,40,75
Theo Fleury,1999,10,15,80
Theo Fleury,2000,11,30,62
Theo Fleury,2001,12,24,82
Theo Fleury,2002,13,12,54
Tony Amonte,1991,1,35,79
Tony Amonte,1992,2,33,83
Tony Amonte,1993,3,17,79
Tony Amonte,1994,4,15,48
Tony Amonte,1995,5,31,81
Tony Amonte,1996,6,41,81
Tony Amonte,1997,7,31,82
Tony Amonte,1998,8,44,82
Tony Amonte,1999,9,43,82
Tony Amonte,2000,10,35,82
Tony Amonte,2001,11,27,82
Tony Amonte,2002,12,20,72
Tony Amonte,2003,13,20,80
Tony Amonte,2005,14,14,80
Tony Amonte,2005,15,14,80
Tony Amonte,2006,16,10,81
Vincent Lecavalier,1998,1,13,82
Vincent Lecavalier,1999,2,25,80
Vincent Lecavalier,2000,3,23,68
Vincent Lecavalier,2001,4,20,76
Vincent Lecavalier,2002,5,33,80
Vincent Lecavalier,2003,6,32,81
Vincent Lecavalier,2005,7,35,80
Vincent Lecavalier,2006,8,52,82
Vincent Lecavalier,2007,9,40,81
Vincent Lecavalier,2008,10,29,77
Vincent Lecavalier,2009,11,24,82
Vincent Lecavalier,2010,12,25,65
Vincent Lecavalier,2011,13,22,64
Vincent Lecavalier,2012,14,10,39
Vincent Lecavalier,2013,15,20,69
Vincent Lecavalier,2014,16,8,57
Vincent Lecavalier,2015,17,10,49
