skaterFullName,year_season_start,season_number,goals,gamesPlayed
Evgeni Malkin,2013,8,23,60
Evgeni Malkin,2014,9,28,69
Evgeni Malkin,2015,10,27,57
Evgeni Malkin,2016,11,33,62
Evgeni Malkin,2017,12,42,78
Evgeni Malkin,2018,13,21,68
Evgeni Malkin,2019,14,25,55
Ilya Kovalchuk,2001,1,29,65
Ilya Kovalchuk,2002,2,38,81
Ilya Kovalchuk,2003,3,41,81
Ilya Kovalchuk,2005,4,52,78
Ilya Kovalchuk,2006,5,42,82
Ilya Kovalchuk,2007,6,52,79
Ilya Kovalchuk,2008,7,43,79
Ilya Kovalchuk,2009,8,41,76
Ilya Kovalchuk,2010,9,31,81
Ilya Kovalchuk,2011,10,37,77
Ilya Kovalchuk,2012,11,11,37
Ilya Kovalchuk,2018,12,16,64
Ilya Kovalchuk,2019,13,10,46
Jarome Iginla,1996,1,21,82
Jarome Iginla,1997,2,13,70
Jarome Iginla,1998,3,28,82
Jarome Iginla,1999,4,29,77
Jarome Iginla,2000,5,31,77
Jarome Iginla,2001,6,52,82
Jarome Iginla,2002,7,35,75
Jarome Iginla,2003,8,41,81
Jarome Iginla,2005,9,35,82
Jarome Iginla,2006,10,39,70
Jarome Iginla,2007,11,50,82
Jarome Iginla,2008,12,35,82
Jarome Iginla,2009,13,32,82
Jarome Iginla,2010,14,43,82
Jarome Iginla,2011,15,32,82
Jarome Iginla,2012,16,14,44
Jarome Iginla,2013,17,30,78
Jarome Iginla,2014,18,29,82
Jarome Iginla,2015,19,22,82
Jarome Iginla,2016,20,14,80
Jaromir Jagr,1990,1,27,80
Jaromir Jagr,1991,2,32,70
Jaromir Jagr,1992,3,34,81
Jaromir Jagr,1993,4,32,80
Jaromir Jagr,1994,5,32,48
Jaromir Jagr,1995,6,62,82
Jaromir Jagr,1996,7,47,63
Jaromir Jagr,1997,8,35,77
Jaromir Jagr,1998,9,44,81
Jaromir Jagr,1999,10,42,63
Jaromir Jagr,2000,11,52,81
Jaromir Jagr,2001,12,31,69
Jaromir Jagr,2002,13,36,75
Jaromir Jagr,2003,14,31,77
Jaromir Jagr,2005,15,54,82
Jaromir Jagr,2006,16,30,82
Jaromir Jagr,2007,17,25,82
Jaromir Jagr,2011,18,19,73
Jaromir Jagr,2012,19,16,45
Jaromir Jagr,2013,20,24,82
Jaromir Jagr,2014,21,17,77
Jaromir Jagr,2015,22,27,79
Jaromir Jagr,2016,23,16,82
Jaromir Jagr,2017,24,1,22
Jason Arnott,1993,1,33,78
Jason Arnott,1994,2,15,42
Jason Arnott,1995,3,28,64
Jason Arnott,1996,4,19,67
Jason Arnott,1997,5,10,70
Jason Arnott,1998,6,27,74
Jason Arnott,1999,7,22,76
Jason Arnott,2000,8,21,54
Jason Arnott,2001,9,25,73
Jason Arnott,2002,10,23,72
Jason Arnott,2003,11,21,73
Jason Arnott,2005,12,32,81
Jason Arnott,2006,13,27,68
Jason Arnott,2007,14,28,79
Jason Arnott,2008,15,33,65
Jason Arnott,2009,16,19,63
Jason Arnott,2010,17,17,73
Jason Arnott,2011,18,17,72
Jeff Carter,2005,1,23,81
Jeff Carter,2006,2,14,62
Jeff Carter,2006,3,14,62
Jeff Carter,2007,4,29,82
Jeff Carter,2008,5,46,82
Jeff Carter,2009,6,33,74
Jeff Carter,2010,7,36,80
Jeff Carter,2011,8,21,55
Jeff Carter,2012,9,26,48
Jeff Carter,2013,10,27,72
